timestamp,event_type
06-06-2025-09-32-02 (00:00:08),Concealment Gesture
06-06-2025-09-32-02 (00:00:08),Concealment Gesture
06-06-2025-09-32-02 (00:00:08),Concealment Gesture
06-06-2025-09-32-02 (00:00:08),Concealment Gesture
06-06-2025-09-32-02 (00:00:08),Concealment Gesture
06-06-2025-09-32-02 (00:00:08),Concealment Gesture
06-06-2025-09-32-03 (00:00:08),Concealment Gesture
06-06-2025-09-32-03 (00:00:08),Concealment Gesture
06-06-2025-09-32-04 (00:00:09),Loitering
06-06-2025-09-32-04 (00:00:09),Loitering
06-06-2025-09-32-04 (00:00:09),Loitering
06-06-2025-09-32-05 (00:00:09),Loitering
06-06-2025-09-32-05 (00:00:09),Loitering
06-06-2025-09-32-05 (00:00:09),Loitering
06-06-2025-09-32-05 (00:00:09),Loitering
06-06-2025-09-32-05 (00:00:09),Loitering
06-06-2025-09-32-05 (00:00:09),Loitering
06-06-2025-09-32-05 (00:00:09),Loitering
06-06-2025-09-32-05 (00:00:09),Loitering
06-06-2025-09-32-05 (00:00:09),Loitering
06-06-2025-09-32-05 (00:00:09),Loitering
06-06-2025-09-32-06 (00:00:09),Loitering
06-06-2025-09-32-06 (00:00:09),Loitering
06-06-2025-09-32-06 (00:00:09),Loitering
06-06-2025-09-32-06 (00:00:09),Loitering
06-06-2025-09-32-06 (00:00:09),Loitering
06-06-2025-09-32-06 (00:00:09),Loitering
06-06-2025-09-32-06 (00:00:09),Loitering
06-06-2025-09-32-06 (00:00:09),Loitering
06-06-2025-09-32-06 (00:00:09),Loitering
06-06-2025-09-32-06 (00:00:09),Loitering
06-06-2025-09-32-07 (00:00:09),Loitering
06-06-2025-09-32-07 (00:00:09),Loitering
06-06-2025-09-32-07 (00:00:09),Loitering
06-06-2025-09-32-07 (00:00:09),Loitering
06-06-2025-09-32-07 (00:00:09),Loitering
06-06-2025-09-32-07 (00:00:09),Loitering
06-06-2025-09-32-07 (00:00:10),Loitering
06-06-2025-09-32-07 (00:00:10),Loitering
06-06-2025-09-32-07 (00:00:10),Loitering
06-06-2025-09-32-08 (00:00:10),Loitering
06-06-2025-09-32-08 (00:00:10),Loitering
06-06-2025-09-32-08 (00:00:10),Loitering
06-06-2025-09-32-08 (00:00:10),Loitering
06-06-2025-09-32-08 (00:00:10),Loitering
06-06-2025-09-32-08 (00:00:10),Loitering
06-06-2025-09-32-08 (00:00:10),Loitering
06-06-2025-09-32-08 (00:00:10),Loitering
06-06-2025-09-32-08 (00:00:10),Loitering
06-06-2025-09-32-08 (00:00:10),Loitering
06-06-2025-09-32-09 (00:00:10),Loitering
06-06-2025-09-32-09 (00:00:10),Loitering
06-06-2025-09-32-09 (00:00:10),Loitering
06-06-2025-09-32-09 (00:00:10),Loitering
06-06-2025-09-32-09 (00:00:10),Loitering
06-06-2025-09-32-09 (00:00:10),Loitering
06-06-2025-09-32-09 (00:00:10),Loitering
06-06-2025-09-32-09 (00:00:10),Loitering
06-06-2025-09-32-09 (00:00:10),Loitering
06-06-2025-09-32-10 (00:00:10),Loitering
06-06-2025-09-32-10 (00:00:10),Loitering
06-06-2025-09-32-10 (00:00:10),Loitering
06-06-2025-09-32-10 (00:00:10),Loitering
06-06-2025-09-32-10 (00:00:10),Loitering
06-06-2025-09-32-10 (00:00:10),Loitering
06-06-2025-09-32-10 (00:00:10),Loitering
06-06-2025-09-32-10 (00:00:10),Loitering
06-06-2025-09-32-10 (00:00:11),Loitering
06-06-2025-09-32-10 (00:00:11),Loitering
06-06-2025-09-32-11 (00:00:11),Loitering
06-06-2025-09-32-11 (00:00:11),Loitering
06-06-2025-09-32-11 (00:00:11),Loitering
06-06-2025-09-32-11 (00:00:11),Loitering
06-06-2025-09-32-11 (00:00:11),Loitering
06-06-2025-09-32-17 (00:00:13),Loitering
06-06-2025-09-32-17 (00:00:13),Loitering
06-06-2025-09-32-17 (00:00:13),Loitering
06-06-2025-09-32-17 (00:00:13),Loitering
06-06-2025-09-32-17 (00:00:13),Loitering
06-06-2025-09-32-17 (00:00:13),Loitering
06-06-2025-09-32-18 (00:00:13),Loitering
06-06-2025-09-32-18 (00:00:13),Loitering
06-06-2025-09-32-18 (00:00:13),Loitering
06-06-2025-09-32-18 (00:00:13),Loitering
06-06-2025-09-32-18 (00:00:13),Loitering
06-06-2025-09-32-18 (00:00:13),Loitering
06-06-2025-09-32-18 (00:00:13),Loitering
06-06-2025-09-32-18 (00:00:13),Loitering
06-06-2025-09-32-18 (00:00:13),Loitering
06-06-2025-09-32-28 (00:00:16),Loitering
06-06-2025-09-32-28 (00:00:16),Loitering
06-06-2025-09-32-28 (00:00:16),Loitering
06-06-2025-09-32-28 (00:00:16),Loitering
06-06-2025-09-32-28 (00:00:16),Loitering
06-06-2025-09-32-28 (00:00:16),Loitering
06-06-2025-09-32-28 (00:00:16),Loitering
06-06-2025-09-32-28 (00:00:16),Loitering
06-06-2025-09-32-29 (00:00:16),Loitering
06-06-2025-09-32-29 (00:00:16),Loitering
